zip,city,county,deliverable,confirmed deliverable,Pricing Zone
48841,Henderson,Shiawassee,,,
48848,Laingsburg,Shiawassee,,,
48857,Morrice,Shiawassee,,,
48460,New Lothrop,Shiawassee,,,
48867,Owosso,Shiawassee,,,
48872,Perry,Shiawassee,,,
48476,Vernon,Shiawassee,,,
48001,Algonac,St. Clair,,,
48002,Allenton,St. Clair,,,
48006,Avoca,St. Clair,,,
48014,Capac,St. Clair,,,
48064,Casco,St. Clair,,,
48063,Columbus,St. Clair,,,
48054,East China,St. Clair,,,
48022,Emmett,St. Clair,,,
48023,Fair Haven,St. Clair,,,
48059,Fort Gratiot,St. Clair,,,
48027,Goodells,St. Clair,,,
48028,Harsens Island,St. Clair,,,
48032,Jeddo,St. Clair,,,
48039,Marine City,St. Clair,,,
48040,Marysville,St. Clair,,,
48041,Memphis,St. Clair,,,
48049,North Street,St. Clair,,,
48060,Port Huron,St. Clair,,,
48079,Saint Clair,St. Clair,,,
48074,Smiths Creek,St. Clair,,,
48097,Yale,St. Clair,,,
49030,Burr Oak,St. Joseph,,,
49032,Centreville,St. Joseph,,,
49040,Colon,St. Joseph,,,
49042,Constantine,St. Joseph,,,
49066,Leonidas,St. Joseph,,,
49072,Mendon,St. Joseph,,,
49075,Nottawa,St. Joseph,,,
49091,Sturgis,St. Joseph,,,
49093,Three Rivers,St. Joseph,,,
49099,White Pigeon,St. Joseph,,,
48701,Akron,Tuscola,,,
48723,Caro,Tuscola,,,
48726,Cass City,Tuscola,,,
48729,Deford,Tuscola,,,
48733,Fairgrove,Tuscola,,,
48435,Fostoria,Tuscola,,,
48735,Gagetown,Tuscola,,,
48741,Kingston,Tuscola,,,
48744,Mayville,Tuscola,,,
48746,Millington,Tuscola,,,
48757,Reese,Tuscola,,,
48767,Unionville,Tuscola,,,
48768,Vassar,Tuscola,,,
49013,Bangor,Van Buren,,,
49026,Bloomingdale,Van Buren,,,
49027,Breedsville,Van Buren,,,
49043,Covert,Van Buren,,,
49045,Decatur,Van Buren,,,
49055,Gobles,Van Buren,,,
49056,Grand Junction,Van Buren,,,
49057,Hartford,Van Buren,,,
49064,Lawrence,Van Buren,,,
49065,Lawton,Van Buren,,,
49071,Mattawan,Van Buren,,,
49079,Paw Paw,Van Buren,,,
49090,South Haven,Van Buren,,,
48103,Ann Arbor,Washtenaw,,,
48104,Ann Arbor,Washtenaw,,,
48105,Ann Arbor,Washtenaw,,,
48108,Ann Arbor,Washtenaw,,,
48109,Ann Arbor,Washtenaw,,,
48118,Chelsea,Washtenaw,,,
48130,Dexter,Washtenaw,,,
48158,Manchester,Washtenaw,,,
48176,Saline,Washtenaw,,,
48189,Whitmore Lake,Washtenaw,,,
48190,Whittaker,Washtenaw,,,
48191,Willis,Washtenaw,,,
48197,Ypsilanti,Washtenaw,,,
48198,Ypsilanti,Washtenaw,,,
48101,Allen Park,Wayne,,,
48111,Belleville,Wayne,,,
48187,Canton,Wayne,,,
48188,Canton,Wayne,,,
48120,Dearborn,Wayne,,,
48124,Dearborn,Wayne,,,
48126,Dearborn,Wayne,,,
48128,Dearborn,Wayne,,,
48125,Dearborn Heights,Wayne,,,
48127,Dearborn Heights,Wayne,,,
48229,Ecorse,Wayne,,,
48134,Flat Rock,Wayne,,,
48135,Garden City,Wayne,,,
48138,Grosse Ile,Wayne,,,
48141,Inkster,Wayne,,,
48146,Lincoln Park,Wayne,,,
48150,Livonia,Wayne,,,
48152,Livonia,Wayne,,,
48154,Livonia,Wayne,,,
48122,Melvindale,Wayne,,,
48164,New Boston,Wayne,,,
48167,Northville,Wayne,,,
48170,Plymouth,Wayne,,,
48239,Redford,Wayne,,,
48240,Redford,Wayne,,,
48173,Rockwood,Wayne,,,
48174,Romulus,Wayne,,,
48242,Romulus,Wayne,,,
48195,Southgate,Wayne,,,
48180,Taylor,Wayne,,,
48183,Trenton,Wayne,,,
48184,Wayne,Wayne,,,
48185,Westland,Wayne,,,
48186,Westland,Wayne,,,
48192,Wyandotte,Wayne,,,
49618,Boon,Wexford,,,
49620,Buckley,Wexford,,,
49601,Cadillac,Wexford,,,
49638,Harrietta,Wexford,,,
49663,Manton,Wexford,,,
49668,Mesick,Wexford,,,
